Unique ID,Abbreviation,Parent Agency,Bureau,Date,Fedscope ID,Capacity Score,Capacity Score SD,Capacity Upperbound,Capacity Lowerbound
CM54-200109,NOAA,Department of Commerce,National Oceanic and Atmospheric Administration,2001,CM54,0.207550791,0.72834369,-1.230390855,1.613384135
CM55-200109,ITA,Department of Commerce,International Trade Administration,2001,CM55,0.100958177,0.736772038,-1.339492737,1.54014762
CM56-200109,USPTO,Department of Commerce,United States Patent and Trademark Office,2001,CM56,-0.590165084,0.720774768,-2.011723408,0.808396415
CM57-200109,NIST,Department of Commerce,National Institute of Standards and Technology,2001,CM57,0.701525479,0.718038019,-0.706694743,2.110513833
CM59-200109,MBDA,Department of Commerce,Minority Business Development Agency,2001,CM59,-1.174571439,0.730136469,-2.625988419,0.249390966
CM61-200109,NTIA,Department of Commerce,National Telecommunications and Information Administration ,2001,CM61,0.147488677,0.732551418,-1.270950703,1.612880776
CM62-200109,NTIS,Department of Commerce,National Technical Information Service,2001,CM62,-1.854240859,0.72532896,-3.260788783,-0.431553961
CM63-200109,CEN,Department of Commerce,U.S. Census Bureau,2001,CM63,-0.567277712,0.726948701,-1.998970347,0.870572098
CM65-200109,ESA,Department of Commerce,Economic and Statistics Administration,2001,CM65,0.169461407,0.727310667,-1.233044917,1.592860646
CM67-200109,BIS,Department of Commerce,Bureau of Industry and Security,2001,CM67,0.083275215,0.738098723,-1.373053781,1.534869002
CT00-200109,CFTC,Commodity Futures Trading Commission,,2001,CT00,0.465811367,0.733803033,-0.980879402,1.909413269
CU00-200109,NCUA,National Credit Union Administration,,2001,CU00,0.306119913,0.726700304,-1.109443088,1.720143258
DD-DEP-200109,DOD,Department of Defense,,2001,DD-DEP,-0.81423566,0.720685453,-2.223689379,0.600697083
DD01-200109,DODSEC,Department of Defense,Office of the Secretary,2001,DD01,0.587469985,0.715543244,-0.809395222,1.983171491
DD04-200109,DISA,Department of Defense,Defense Information Systems Agency,2001,DD04,-0.715505407,0.729433828,-2.15443398,0.727158856
DD06-200109,DSCA,Department of Defense,Defense Security Cooperation Agency,2001,DD06,0.036653073,0.729429071,-1.386104195,1.462521195
DD07-200109,DLA,Department of Defense,Defense Logistics Agency,2001,DD07,-1.204915516,0.726673733,-2.638950738,0.213027244
DD10-200109,DCAA,Department of Defense,Defense Contract Audit Agency,2001,DD10,0.63617621,0.736329845,-0.815384247,2.074652141
DD12-200109,DSS,Department of Defense,Defense Counterintelligence and Security Agency,2001,DD12,-1.19922008,0.724113157,-2.607831068,0.218624251
DD13-200109,DARPA,Department of Defense,Defense Advanced Research Projects Agency,2001,DD13,0.863395986,0.725111064,-0.5696311,2.300224581
DD16-200109,DODEA,Department of Defense,DOD Education Activity,2001,DD16,-1.085051631,0.736743196,-2.52012436,0.362552016
DD21-200109,WHS,Department of Defense,Washington Headquarters Services,2001,DD21,-0.931296386,0.731708503,-2.355870187,0.51221562
