Unique ID,Abbreviation,Parent Agency,Bureau,Date,Fedscope ID,Capacity Score,Capacity Score SD,Capacity Upperbound,Capacity Lowerbound
AF-DEP-199809,USAF,Department of Defense,Air Force,1998,AF-DEP,-0.886450339,0.727825996,-2.314730183,0.545378725
AG-DEP-199809,USDA,Department of Agriculture,,1998,AG-DEP,-0.913481773,0.726518604,-2.322314645,0.511554866
AG02-199809,AMS,Department of Agriculture,Agricultural Marketing Service,1998,AG02,-0.740608648,0.730936953,-2.170035337,0.678096689
AG03-199809,ARS,Department of Agriculture,Agricultural Research Service,1998,AG03,-0.173431216,0.729203564,-1.612475465,1.252188917
AG07-199809,RHS,Department of Agriculture,Rural Housing Service,1998,AG07,-0.99310346,0.722209557,-2.401583803,0.415987009
AG08-199809,RMA,Department of Agriculture,Risk Management Agency,1998,AG08,-1.27082359,0.72604979,-2.712663289,0.125061285
AG10-199809,FAS,Department of Agriculture,Foreign Agricultural Service,1998,AG10,0.322403971,0.73014577,-1.109355921,1.752180464
AG11-199809,USFS,Department of Agriculture,Forest Service,1998,AG11,-1.083000781,0.731212459,-2.515413544,0.343576884
AG14-199809,AGGC,Department of Agriculture,Office of the General Counsel,1998,AG14,0.650953927,0.732949151,-0.775036431,2.103620728
AG15-199809,RUS,Department of Agriculture,Rural Utilities Service,1998,AG15,0.091702606,0.711894171,-1.300806764,1.486811061
AG16-199809,NRCS,Department of Agriculture,Natural Resources Conservation Service,1998,AG16,-0.279691766,0.73111136,-1.72842974,1.171354851
AG18-199809,ERS,Department of Agriculture,Economic Research Service,1998,AG18,0.538070111,0.737692495,-0.901495282,1.983641884
AG20-199809,NASS,Department of Agriculture,National Agricultural Statistics Service,1998,AG20,0.074019718,0.725299815,-1.346115007,1.510815892
AG22-199809,NIFA,Department of Agriculture,National Institute of Food and Agriculture,1998,AG22,0.594887183,0.729810975,-0.846294978,2.019816661
AG30-199809,FNS,Department of Agriculture,Food and Nutrition Service,1998,AG30,-0.536449087,0.741364141,-2.000834646,0.915992588
AG32-199809,RBCS,Department of Agriculture,Rural Business-Cooperative Service,1998,AG32,-0.030366738,0.729198804,-1.474994629,1.397296935
AG34-199809,APHIS,Department of Agriculture,Animal and Plant Health Inspection Service,1998,AG34,-0.869997475,0.724259652,-2.282841766,0.54891676
AG36-199809,GIPSA,Department of Agriculture,"Grain Inspection, Packers, and Stockyards Administration",1998,AG36,-0.622792717,0.731807801,-2.061472315,0.791606487
AG37-199809,FSIS,Department of Agriculture,Food Safety and Inspection Service,1998,AG37,-1.231558203,0.726979538,-2.655131332,0.198607959
AG90-199809,AGCFO,Department of Agriculture,Office of Chief Financial Officer,1998,AG90,-0.939147271,0.724313959,-2.345304623,0.483861095
AGFA-199809,FSA,Department of Agriculture,Farm Service Agency,1998,AGFA,-1.142169342,0.736278692,-2.592032625,0.30475721
AH01-199809,NEA,National Foundation on the Arts and the Humanities,National Endowment for the Arts,1998,AH01,-0.52211575,0.738640865,-1.959289279,0.922151892
AH02-199809,NEH,National Foundation on the Arts and the Humanities,National Endowment for the Humanities,1998,AH02,-0.349843964,0.727917706,-1.786321709,1.075801262
AH03-199809,IMLS,National Foundation on the Arts and the Humanities,Institute of Museum and Library Services,1998,AH03,0.229580628,0.73510183,-1.206540076,1.654801881
AI00-199809,USIP,United States Institute of Peace,,1998,AI00,-0.284076738,0.719772067,-1.712095816,1.128312921
AMAG-199809,USAID,Department of State,United States Agency for International Development,1998,AMAG,0.105161757,0.729869546,-1.33610875,1.542006592
AMPC-199809,OPIC,International Development Finance Corporation,Overseas Private Investment Corporation,1998,AMPC,-0.092074893,0.72913993,-1.508889215,1.336082816
AN00-199809,USADF,United States African Development Foundation,,1998,AN00,0.684841567,0.734571256,-0.773203707,2.114326209
AR-DEP-199809,ARMY,Department of Defense,Army,1998,AR-DEP,-0.704567508,0.734082277,-2.127412922,0.714790579
ARCE-199809,ARCE,Department of Defense,Army Corps of Engineers,1998,ARCE,-0.166331509,0.72602578,-1.588635811,1.267910727
AU00-199809,FLRA,Federal Labor Relations Authority,,1998,AU00,0.350914871,0.739017507,-1.09695367,1.804712213
BD00-199809,MSPB,Merit Systems Protection Board,,1998,BD00,0.746306247,0.730648003,-0.680969403,2.183864271
BF00-199809,DNFSB,Defense Nuclear Facilities Safety Board,,1998,BF00,0.89874875,0.743853561,-0.570781921,2.348668688
BG00-199809,PBGC,Department of Labor,Pension Benefit Guaranty Corporation,1998,BG00,-0.034659098,0.727698768,-1.484449108,1.377551282
BO00-199809,OMB,Executive Office of the President,Office of Management and Budget,1998,BO00,0.33414632,0.732673252,-1.098413885,1.784623554
CC00-199809,CCR,Commission on Civil Rights,,1998,CC00,0.364466448,0.72688486,-1.066289585,1.787731923
CE00-199809,CEA,Executive Office of the President,Council of Economic Advisors,1998,CE00,0.126456732,0.730242353,-1.302496751,1.533070439
CM-DEP-199809,DOC,Department of Commerce,,1998,CM-DEP,-0.182467289,0.729776966,-1.619184735,1.242390174
CM51-199809,DOCSEC,Department of Commerce,Office of the Secretary,1998,CM51,-0.013543397,0.725220945,-1.430909898,1.403284551
CM52-199809,EDA,Department of Commerce,Economic Development Administration,1998,CM52,0.091079262,0.724490157,-1.332316687,1.515326073
CM53-199809,BEA,Department of Commerce,Bureau of Economic Analysis,1998,CM53,0.297095446,0.723512574,-1.111239076,1.699080174
CM54-199809,NOAA,Department of Commerce,National Oceanic and Atmospheric Administration,1998,CM54,0.115126434,0.738210679,-1.349342156,1.56739002
CM55-199809,ITA,Department of Commerce,International Trade Administration,1998,CM55,-0.004473759,0.736237263,-1.452333478,1.444899223
CM56-199809,USPTO,Department of Commerce,United States Patent and Trademark Office,1998,CM56,-0.701806181,0.720014194,-2.111525335,0.711284809
CM57-199809,NIST,Department of Commerce,National Institute of Standards and Technology,1998,CM57,0.626341293,0.733612538,-0.811794342,2.067192689
CM59-199809,MBDA,Department of Commerce,Minority Business Development Agency,1998,CM59,-0.982399399,0.718479337,-2.375920433,0.43193931
CM61-199809,NTIA,Department of Commerce,National Telecommunications and Information Administration ,1998,CM61,0.092962745,0.726084492,-1.341726672,1.534201334
CM62-199809,NTIS,Department of Commerce,National Technical Information Service,1998,CM62,-1.563301002,0.723422483,-2.988680411,-0.139499488
CM63-199809,CEN,Department of Commerce,U.S. Census Bureau,1998,CM63,-0.764021633,0.727564052,-2.182560311,0.6621736
CM65-199809,ESA,Department of Commerce,Economic and Statistics Administration,1998,CM65,0.388352115,0.726947817,-1.02927395,1.818059609
CM67-199809,BIS,Department of Commerce,Bureau of Industry and Security,1998,CM67,-0.06746021,0.727293734,-1.493691892,1.35968662
CT00-199809,CFTC,Commodity Futures Trading Commission,,1998,CT00,0.37996798,0.732427272,-1.074203721,1.813871524
CU00-199809,NCUA,National Credit Union Administration,,1998,CU00,0.500907042,0.739563271,-0.933345423,1.943305985
DD-DEP-199809,DOD,Department of Defense,,1998,DD-DEP,-0.866200388,0.732922175,-2.326598496,0.558229306
DD01-199809,DODSEC,Department of Defense,Office of the Secretary,1998,DD01,0.821335254,0.735449216,-0.610780577,2.265641646
DD04-199809,DISA,Department of Defense,Defense Information Systems Agency,1998,DD04,-0.730839382,0.730231365,-2.143820275,0.692863594
DD06-199809,DSCA,Department of Defense,Defense Security Cooperation Agency,1998,DD06,-0.183239122,0.723124795,-1.605531968,1.240088804
DD07-199809,DLA,Department of Defense,Defense Logistics Agency,1998,DD07,-1.180507547,0.735883797,-2.609560498,0.232522321
DD10-199809,DCAA,Department of Defense,Defense Contract Audit Agency,1998,DD10,0.622689808,0.736608491,-0.807255638,2.083551196
DD12-199809,DSS,Department of Defense,Defense Counterintelligence and Security Agency,1998,DD12,-1.139385684,0.725752607,-2.577536839,0.274278145
DD13-199809,DARPA,Department of Defense,Defense Advanced Research Projects Agency,1998,DD13,0.586845266,0.731609768,-0.850719533,2.022213577
DD16-199809,DODEA,Department of Defense,DOD Education Activity,1998,DD16,-1.156053053,0.720881937,-2.561018132,0.250870897
DD21-199809,WHS,Department of Defense,Washington Headquarters Services,1998,DD21,-0.956718373,0.725731849,-2.38853184,0.476746432
DD25-199809,DLSA,Department of Defense,Defense Legal Services Agency,1998,DD25,0.294864085,0.734097058,-1.146458127,1.720893574
DD27-199809,MDA,Department of Defense,Missile Defense Agency,1998,DD27,0.464006445,0.732539608,-0.968433258,1.901339166
DD29-199809,DTSA,Department of Defense,Defense Technology Security Administration,1998,DD29,0.932661857,0.722904283,-0.482792842,2.345180829
DD34-199809,DCA,Department of Defense,Defense Commissary Agency,1998,DD34,-1.176652531,0.719695842,-2.588833001,0.244063906
DD35-199809,DFAS,Department of Defense,Defense Finance and Accounting Service,1998,DD35,-0.989995219,0.731822671,-2.424008235,0.448887212
DD58-199809,DPOW,Department of Defense,Defense POW/MIA Accounting Agency,1998,DD58,0.137165279,0.733250619,-1.310399735,1.58043448
DD60-199809,DHA,Department of Defense,Defense Health Agency,1998,DD60,0.186882568,0.733456906,-1.25554925,1.61346282
DJ-DEP-199809,DOJ,Department of Justice,,1998,DJ-DEP,-0.611639517,0.728026872,-2.027290837,0.81729845
DJ02-199809,FBI,Department of Justice,Federal Bureau of Investigation,1998,DJ02,-1.719218837,0.725960958,-3.135163803,-0.279289702
DJ03-199809,BOP,Department of Justice,Bureau of Prisons/Federal Prison System,1998,DJ03,-0.958865014,0.726852712,-2.385221355,0.474831497
DJ04-199809,INS,Department of Justice,Immigration and Naturalization Service,1998,DJ04,-1.095908786,0.732070267,-2.53414764,0.321755928
DJ06-199809,DEA,Department of Justice,Drug Enforcement Administration,1998,DJ06,-0.859572388,0.720629014,-2.258077337,0.567439269
DJ07-199809,OJP,Department of Justice,Office of Justice Programs,1998,DJ07,-0.040295344,0.730825989,-1.467634319,1.392827667
DJ08-199809,USMS,Department of Justice,United States Marshals Service,1998,DJ08,-1.355061956,0.721899772,-2.77976822,0.058331933
DJ09-199809,EOUSA,Department of Justice,Executive Office for United States Attorneys,1998,DJ09,0.60838409,0.724018756,-0.804341991,2.024163072
DJ11-199809,EOUST,Department of Justice,Executive Office for United States Trustees,1998,DJ11,-0.594818329,0.728565255,-2.046066241,0.814164781
DJ12-199809,EOIR,Department of Justice,Executive Office for Immigration Review,1998,DJ12,0.565141528,0.73032794,-0.858569775,1.985472245
DJ14-199809,JCRS,Department of Justice,Community Relations Service,1998,DJ14,0.568142531,0.722723833,-0.84356861,1.997268753
DL-DEP-199809,DOL,Department of Labor,,1998,DL-DEP,-0.444363858,0.730301415,-1.876415304,0.982188085
DLAA-199809,DOLSEC,Department of Labor,Office of the Secretary,1998,DLAA,0.080360196,0.730125618,-1.352306176,1.489696473
DLAM-199809,DOLMANG,Department of Labor,Office of the Assistant Secretary for Administration and Management,1998,DLAM,-0.710334547,0.726246649,-2.148737295,0.711006114
DLBL-199809,BILA,Department of Labor,Bureau of International Labor Affairs,1998,DLBL,0.039866318,0.720656311,-1.385259985,1.452105725
DLES-199809,DLES,Department of Labor,Employment Standards Administration,1998,DLES,-0.457888829,0.71731445,-1.866658646,0.950434916
DLET-199809,ETA,Department of Labor,Employment and Training Administration,1998,DLET,-0.126543397,0.737894504,-1.554376687,1.31556601
DLLS-199809,BLS,Department of Labor,Bureau of Labor Statistics,1998,DLLS,-0.068277067,0.723724478,-1.473609887,1.353878666
DLMS-199809,MSHA,Department of Labor,Mine Safety and Health Administration,1998,DLMS,-1.065769769,0.730770488,-2.509445837,0.359838516
DLPW-199809,EBSA,Department of Labor,Employee Benefits Security Administration,1998,DLPW,-0.059219827,0.722432094,-1.457557604,1.361627932
DLSH-199809,OSHA,Department of Labor,Occupational Safety and Health Administration,1998,DLSH,-0.076936933,0.731730957,-1.509307477,1.343205738
DLWB-199809,WB,Department of Labor,Women's Bureau,1998,DLWB,-0.073609087,0.732700533,-1.517655946,1.374327957
DN00-199809,DOE,Department of Energy,,1998,DN00,0.298775133,0.719770561,-1.121567354,1.703783017
EB00-199809,EXIM,Export-Import Bank of the United States,,1998,EB00,0.239070083,0.728256546,-1.179473883,1.669030384
ED-DEP-199809,DOED,Department of Education,,1998,ED-DEP,-0.033071347,0.72263163,-1.447044773,1.396386642
EDEB-199809,EDSEC,Department of Education,Office of the Secretary,1998,EDEB,-0.054482826,0.724185886,-1.472847901,1.355978629
EDEC-199809,EDCIV,Department of Education,Office of Civil Rights,1998,EDEC,0.180828639,0.72724464,-1.24312009,1.601790643
EDEE-199809,EDUSEC,Department of Education,Office of the Under Secretary,1998,EDEE,0.402262705,0.730663665,-1.028740249,1.819141164
EDEH-199809,PSER,Department of Education,Office of Special Education and Rehabilitative Services,1998,EDEH,0.094080046,0.72730272,-1.333687598,1.524928181
EDEK-199809,EDIG,Department of Education,Office of Intergovernmental and Interagency Affairs,1998,EDEK,-0.765391894,0.721693745,-2.174300605,0.649100236
EDEL-199809,EDCFO,Department of Education,Office of the Chief Financial Officer,1998,EDEL,-0.221614321,0.731214655,-1.657363008,1.208013432
EDEM-199809,EDMANG,Department of Education,Office of Management,1998,EDEM,-0.482428883,0.724722043,-1.894102789,0.948249709
EDEP-199809,OPE,Department of Education,Office of Postsecondary Education,1998,EDEP,-0.453098594,0.728131947,-1.881042939,0.980715975
EDER-199809,EDER,Department of Education,Institute of Education Sciences,1998,EDER,0.589312669,0.731940665,-0.845093361,2.014482295
EDES-199809,OESA,Department of Education,Office of Elementary and Secondary Education,1998,EDES,0.144720252,0.724219355,-1.280248856,1.563350612
EDET-199809,OELA,Department of Education,Office of English Language Acquisition,1998,EDET,-0.041752665,0.729827413,-1.464833583,1.394090654
EDEV-199809,EDEV,Department of Education,"Office of Career, Technical, and Adult Education",1998,EDEV,-0.08061931,0.731968024,-1.518979762,1.339566199
EE00-199809,EEOC,Equal Employment Opportunity Commission,,1998,EE00,-0.331467951,0.720091172,-1.736617535,1.086999965
EM00-199809,PREFEMA,Federal Emergency Management Agency,,1998,EM00,-1.228920186,0.721979094,-2.634369442,0.172562324
EP00-199809,EPA,Environmental Protection Agency,,1998,EP00,0.363714766,0.733098524,-1.074000271,1.81204889
EW00-199809,TDA,Trade and Development Agency,,1998,EW00,0.365916563,0.727349845,-1.083416134,1.80933181
FC00-199809,FCC,Federal Communications Commission,,1998,FC00,0.437240214,0.730074115,-0.990541027,1.86996376
FD00-199809,FDIC,Federal Deposit Insurance Corporation,,1998,FD00,-0.080777614,0.726544389,-1.515882993,1.344491841
FJ00-199809,CSHIB,Chemical Safety and Hazard Investigation Board,,1998,FJ00,-0.464157119,0.727569808,-1.876585859,0.950763205
FL00-199809,FCA,Farm Credit Administration,,1998,FL00,0.080492653,0.732533936,-1.374866237,1.520369524
FM00-199809,FMCS,Federal Mediation and Conciliation Service,,1998,FM00,-0.911167324,0.727440645,-2.347380493,0.511782368
FT00-199809,FTC,Federal Trade Commission,,1998,FT00,0.725182566,0.732589352,-0.709062107,2.16157259
FW00-199809,OSC,Office of Special Counsel,,1998,FW00,0.284907561,0.734167095,-1.153834331,1.708550247
FY00-199809,FHFB,Federal Housing Finance Board,,1998,FY00,0.647838706,0.733980621,-0.77977237,2.094238465
GG00-199809,OGE,Office of Government Ethics,,1998,GG00,0.221839753,0.740432043,-1.24156125,1.670637787
GS-DEP-199809,GSA,General Services Administration,,1998,GS-DEP,-1.082275413,0.718570607,-2.496373611,0.325877948
HE-DEP-199809,HHS,Department of Health and Human Services,,1998,HE-DEP,-0.033383718,0.723703569,-1.458136076,1.379648095
HE31-199809,ASH,Department of Health and Human Services,Office of the Assistant Secretary for Health,1998,HE31,0.118619034,0.720170843,-1.309361185,1.509741115
HE32-199809,SAMHSA,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,1998,HE32,0.431210801,0.732033327,-1.024571302,1.850465246
HE33-199809,AHRQ,Department of Health and Human Services,Agency for Healthcare Research and Quality,1998,HE33,0.397232014,0.730514423,-1.035395183,1.829295544
HE34-199809,HRSA,Department of Health and Human Services,Health Resources and Services Administration,1998,HE34,-0.362470445,0.720232788,-1.784829009,1.044204297
HE35-199809,ATSDR,Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,1998,HE35,0.549052463,0.723837862,-0.881008744,1.99193496
HE36-199809,FDA,Department of Health and Human Services,Food and Drug Administration,1998,HE36,0.29614878,0.720291872,-1.135300703,1.716060948
HE37-199809,IHS,Department of Health and Human Services,Indian Health Service,1998,HE37,-1.030244929,0.726956464,-2.469553217,0.387007865
HE38-199809,NIH,Department of Health and Human Services,National Institutes of Health,1998,HE38,0.273138459,0.729917079,-1.152237473,1.704087806
HE39-199809,CDC,Department of Health and Human Services,Centers for Disease Control and Prevention,1998,HE39,0.251138146,0.725619975,-1.156889791,1.675746874
HE70-199809,CMS,Department of Health and Human Services,Centers for Medicare and Medicaid Services,1998,HE70,-0.228202493,0.73017836,-1.648662022,1.192205031
HE90-199809,ACF,Department of Health and Human Services,Administration for Children and Families,1998,HE90,-0.056126588,0.729513711,-1.483518479,1.393759028
HP00-199809,ACHP,Advisory Council on Historic Preservation,,1998,HP00,-0.473509026,0.726072133,-1.900307062,0.962467013
HU-DEP-199809,HUD,Department of Housing and Urban Development,,1998,HU-DEP,-0.593839071,0.733214191,-2.03856764,0.84513752
HUAA-199809,HUDSEC,Department of Housing and Urban Development,Office of the Secretary,1998,HUAA,-0.322327606,0.726206045,-1.745212966,1.092778498
HUBB-199809,HUDMANG,Department of Housing and Urban Development,Office of Administration,1998,HUBB,-1.3119484,0.724472831,-2.739807285,0.093627867
HUCC-199809,HUDGC,Department of Housing and Urban Development,Office of the General Counsel,1998,HUCC,0.775181517,0.721181242,-0.639800711,2.179036097
HUDD-199809,OCPD,Department of Housing and Urban Development,Assistant Secretary for Community Planning and Development,1998,HUDD,-1.157671368,0.722927898,-2.578723989,0.260211465
HUEE-199809,OFHEO,Department of Housing and Urban Development,Assistant Secretary for Fair Housing and Equal Opportunity,1998,HUEE,0.189078609,0.728332936,-1.228356959,1.59879091
HUGG-199809,HUDIG,Department of Housing and Urban Development,Office of the Inspector General,1998,HUGG,0.243689307,0.725989083,-1.172579149,1.685876956
HULL-199809,OHHLHC,Department of Housing and Urban Development,Office of Healthy Homes and Lead Hazard Control,1998,HULL,0.063464785,0.719704541,-1.326288549,1.47969788
HUMM-199809,HOUS,Department of Housing and Urban Development,Assistant Secretary for Housing,1998,HUMM,-0.650485743,0.728560392,-2.078776185,0.753626618
HUOO-199809,OFHEnt,Office of Federal Housing Enterprise Oversight,,1998,HUOO,0.558503507,0.725609449,-0.874931325,1.970873833
HUPP-199809,OPIH,Department of Housing and Urban Development,Office of Public and Indian Housing,1998,HUPP,-0.77712466,0.731060996,-2.232208049,0.656866548
HURR-199809,HUDPOL,Department of Housing and Urban Development,Policy Development and Research,1998,HURR,0.486195684,0.728852702,-0.960007221,1.915044828
HUTT-199809,GNMA,Department of Housing and Urban Development,Government National Mortgage Association,1998,HUTT,-0.504059185,0.735015736,-1.935599807,0.922719418
IB00-199809,BBG,Agency for Global Media,,1998,IB00,-0.219026379,0.730239051,-1.662284369,1.217742712
IF00-199809,IAF,Inter-American Foundation,,1998,IF00,0.454072394,0.721696502,-0.951203765,1.857432229
IN-DEP-199809,INT,Department of the Interior,,1998,IN-DEP,-0.446334766,0.728772222,-1.859339002,0.980969009
IN01-199809,DOISEC,Department of the Interior,Office of the Secretary,1998,IN01,0.001557395,0.73629079,-1.415518066,1.44206569
IN05-199809,BLM,Department of the Interior,Bureau of Land Management,1998,IN05,-0.72202564,0.7243735,-2.139958216,0.686386577
IN06-199809,BIA,Department of the Interior,Bureau of Indian Affairs,1998,IN06,-1.294964689,0.729942768,-2.722279636,0.133095217
IN07-199809,BOR,Department of the Interior,Bureau of Reclamation,1998,IN07,-0.385746974,0.737337031,-1.84052704,1.051623891
IN08-199809,USGS,Department of the Interior,United States Geological Survey,1998,IN08,-0.038348549,0.740169926,-1.509541109,1.407823289
IN10-199809,NPS,Department of the Interior,National Park Service,1998,IN10,-0.848531733,0.725968909,-2.255328677,0.574137311
IN15-199809,USFWS,Department of the Interior,United States Fish and Wildlife Service,1998,IN15,0.017631371,0.725298503,-1.393697178,1.434456377
IN21-199809,DOIGC,Department of the Interior,Office of the Solicitor,1998,IN21,0.629000136,0.730425191,-0.786427671,2.048751293
IN22-199809,OSMR,Department of the Interior,Office of Surface Mining Reclamation and Enforcement,1998,IN22,-0.203325129,0.727318884,-1.6318698,1.226590877
IN23-199809,MMS,Department of the Interior,"Bureau of Ocean Energy Management, Regulation, and Enforcement",1998,IN23,0.056374122,0.732332825,-1.392577644,1.489701409
KS00-199809,CNCS,Corporation for National and Community Service,,1998,KS00,-0.462066319,0.733413026,-1.895121337,0.970095617
LF00-199809,FEC,Federal Election Commission,,1998,LF00,0.060756096,0.726087624,-1.368774898,1.47478989
MC00-199809,FMC,Federal Maritime Commission,,1998,MC00,-0.363910039,0.736478065,-1.801170148,1.076377979
NF00-199809,NSF,National Science Foundation,,1998,NF00,0.669567385,0.723030472,-0.75843554,2.08215974
NL00-199809,NLRB,National Labor Relations Board,,1998,NL00,0.447761476,0.732261102,-1.000339581,1.895069937
NM00-199809,NMB,National Mediation Board,,1998,NM00,-1.062199853,0.739718679,-2.513016345,0.392493387
NN-DEP-199809,NASA,National Aeronautics and Space Administration,,1998,NN-DEP,0.595862455,0.729629207,-0.844892279,2.016085632
NQ00-199809,NARA,National Archives and Records Administration,,1998,NQ00,-1.012384681,0.723541765,-2.42250634,0.394719189
NU00-199809,NRC,Nuclear Regulatory Commission,,1998,NU00,0.876740938,0.724727751,-0.541560679,2.298873497
NV-DEP-199809,NAVY,Department of Defense,Navy,1998,NV-DEP,-0.619659266,0.728932736,-2.047579795,0.811598155
OM00-199809,OPM,Office of Personnel Management,,1998,OM00,-0.75917044,0.727797588,-2.204025184,0.641826187
OS00-199809,OSHRC,Occupational Safety and Health Review Commission,,1998,OS00,0.61630292,0.731451578,-0.825063854,2.047392233
PU00-199809,PC,Peace Corps,,1998,PU00,-0.630847255,0.722724488,-2.067290478,0.782448347
QQ00-199809,ODNCP,Executive Office of the President,Office of National Drug Control Policy,1998,QQ00,-0.269320869,0.728972491,-1.702929619,1.156595765
RF00-199809,FRTIB,Federal Retirement Thrift Investment Board,,1998,RF00,-0.279979336,0.721433415,-1.692498499,1.123528753
RR00-199809,RRB,Railroad Retirement Board,,1998,RR00,-0.894220913,0.735974496,-2.318939684,0.55218027
RS00-199809,FMSHRC,Federal Mine Safety and Health Review Commission,,1998,RS00,0.130274728,0.721437142,-1.2841008,1.550839406
SB00-199809,SBA,Small Business Administration,,1998,SB00,-0.708503707,0.723402234,-2.121670061,0.722163336
SE00-199809,SEC,Securities and Exchange Commission,,1998,SE00,0.618166555,0.729487364,-0.820824622,2.055550429
SK00-199809,CPSC,Consumer Product Safety Commission,,1998,SK00,0.065922681,0.725739192,-1.364508943,1.479238035
ST00-199809,STAT,Department of State,,1998,ST00,-0.087229191,0.734149388,-1.548555945,1.346799301
SZ00-199809,SSA,Social Security Administration,,1998,SZ00,-1.052819329,0.72866301,-2.491509237,0.37957507
TB00-199809,NTSB,National Transportation Safety Board,,1998,TB00,-0.004506573,0.728425495,-1.416019569,1.4364561
TC00-199809,USITC,United States International Trade Commission,,1998,TC00,-0.041727436,0.720419564,-1.44674749,1.351805098
TD-DEP-199809,DOT,Department of Transportation,,1998,TD-DEP,-0.727219813,0.730488078,-2.154432698,0.713693705
TD01-199809,DOTSEC,Department of Transportation,Office of the Secretary,1998,TD01,0.148061556,0.726651549,-1.268528646,1.571603604
TD02-199809,TDCG,Department of Transportation,United States Coast Guard,1998,TD02,-0.877860067,0.733944235,-2.307878691,0.554660252
TD03-199809,FAA,Department of Transportation,Federal Aviation Administration,1998,TD03,-0.80667032,0.725098238,-2.228923213,0.611034641
TD04-199809,FHWA,Department of Transportation,Federal Highway Administration,1998,TD04,0.110475012,0.723524406,-1.305089776,1.529123824
TD05-199809,FRA,Department of Transportation,Federal Railroad Administration,1998,TD05,-0.771034833,0.724487607,-2.195286605,0.649085677
TD06-199809,STLSDC,Department of Transportation,Saint Lawrence Seaway Development Corporation,1998,TD06,-0.92861536,0.731330644,-2.354316004,0.497290205
TD09-199809,FTA,Department of Transportation,Federal Transit Administration,1998,TD09,-0.08110176,0.727736535,-1.502567355,1.35735963
TD10-199809,NHTSA,Department of Transportation,National Highway Traffic Safety Administration,1998,TD10,0.432232346,0.729766832,-1.001051809,1.871997174
TD11-199809,RITA,Department of Transportation,Research and Innovative Technologies Administration,1998,TD11,0.321359073,0.718041161,-1.08261773,1.717313073
TD13-199809,MA,Department of Transportation,Maritime Administration,1998,TD13,-0.79181346,0.737168165,-2.24283086,0.645635309
TD15-199809,STB,Surface Transportation Board,,1998,TD15,0.347714403,0.74123361,-1.102777207,1.800635854
TN00-199809,USTR,Executive Office of the President,Office of the United States Trade Representative,1998,TN00,0.830763546,0.744595396,-0.621861724,2.281052542
TR-DEP-199809,TRS,Department of the Treasury,,1998,TR-DEP,-1.128242861,0.72315708,-2.546718731,0.290640262
TR35-199809,OTS,Department of the Treasury,Office of Thrift Supervision,1998,TR35,0.030216198,0.733760443,-1.407981442,1.466268503
TR40-199809,ATTTB,Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,1998,TR40,-1.146488616,0.726508648,-2.555986988,0.280080883
TR91-199809,TRSMANG,Department of the Treasury,Departmental Offices,1998,TR91,0.156142473,0.736050613,-1.295523449,1.608449926
TR93-199809,IRS,Department of the Treasury,Internal Revenue Service,1998,TR93,-1.258433978,0.730281853,-2.683335479,0.19990513
TRAA-199809,FMS,Department of the Treasury,Financial Management Service,1998,TRAA,-1.031976723,0.726086933,-2.457194909,0.367294162
TRAB-199809,BPD,Department of the Treasury,Bureau of the Public Debt,1998,TRAB,-1.002626308,0.729135047,-2.423074464,0.410908092
TRAD-199809,MINT,Department of the Treasury,United States Mint,1998,TRAD,-1.029161535,0.73697993,-2.46065758,0.422744786
TRA#-199809,CS,Department of the Treasury,U.S. Customs Service,1998,TRA#,-0.942663612,0.729559158,-2.370958224,0.481259579
TRAF-199809,FINCEN,Department of the Treasury,Financial Crimes Enforcement Network,1998,TRAF,-0.227292867,0.733072055,-1.675156345,1.218194106
TRAH-199809,FLETC,Department of the Treasury,Federal Law Enforcement Training Center,1998,TRAH,-1.125975884,0.724883163,-2.543316742,0.307514644
TRAI-199809,BEP,Department of the Treasury,Bureau of Engraving and Printing,1998,TRAI,-0.708397146,0.729452573,-2.151815769,0.715759319
TRAJ-199809,OCC,Department of the Treasury,Office of the Comptroller of the Currency,1998,TRAJ,0.101020706,0.733503348,-1.338003491,1.53341246
VA-DEP-199809,DVA,Department of Veterans Affairs,,1998,VA-DEP,-0.412785995,0.730479845,-1.830679899,1.007593682
VAAD-199809,BVA,Department of Veterans Affairs,Board of Veterans Appeals,1998,VAAD,0.107653024,0.726917774,-1.300394384,1.532443101
VALA-199809,VBA,Department of Veterans Affairs,Veterans Benefits Administration,1998,VALA,-1.191637546,0.733549639,-2.62788878,0.257835382
VAPA-199809,NCA,Department of Veterans Affairs,National Cemetery Administration,1998,VAPA,-1.286330961,0.740915686,-2.724003835,0.164211354
VATA-199809,VHA,Department of Veterans Affairs,Veterans Health Administration,1998,VATA,-0.394193375,0.726387434,-1.813151054,1.031150311
AF-DEP-199909,USAF,Department of Defense,Air Force,1999,AF-DEP,-0.855270435,0.723960429,-2.260331835,0.553070663
AG-DEP-199909,USDA,Department of Agriculture,,1999,AG-DEP,-0.80979723,0.725348624,-2.237186098,0.617572754
AG02-199909,AMS,Department of Agriculture,Agricultural Marketing Service,1999,AG02,-0.747730755,0.720723468,-2.166642842,0.657316429
AG03-199909,ARS,Department of Agriculture,Agricultural Research Service,1999,AG03,-0.055858266,0.72963243,-1.468279465,1.37758244
